Method,dt,r,E_inf_at_t0.5,E_rms_at_t0.5
Explicit,0.002,0.7999999999999998,UNSTABLE,UNSTABLE
Explicit,0.001,0.3999999999999999,1.335241e-04,9.327136e-05
Explicit,0.0005,0.19999999999999996,1.907560e-05,1.332503e-05
Explicit,0.00025,0.09999999999999998,3.811036e-05,2.662162e-05
Implicit,0.01,3.999999999999999,2.360975e-03,1.649390e-03
Implicit,0.005,1.9999999999999996,1.233153e-03,8.614441e-04
Implicit,0.001,0.3999999999999999,3.236582e-04,2.260903e-04
Implicit,0.0005,0.19999999999999996,2.095154e-04,1.463557e-04
RK4,0.002,0.7999999999999998,DIVERGED,DIVERGED
RK4,0.001,0.3999999999999999,9.527084e-05,6.655061e-05
RK4,0.0005,0.19999999999999996,9.527084e-05,6.655061e-05
RK4,0.00025,0.09999999999999998,9.527084e-05,6.655061e-05
